date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:26	26278/26278	---M--	200	added ('OK')	image/jpeg	etag:%22a199ec51df60cb1:0%22	http://www.eccellere.com/images/ITALIACONVENTION%20logo.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/ITALIACONVENTION%20logo.jpg	(from http://www.eccellere.com/)
18:17:26	6531/6531	---M--	200	added ('OK')	image/gif	etag:%22c5e08b453d8c91:0%22	http://www.eccellere.com/images/Banner_120x60_Captha.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/Banner_120x60_Captha.gif	(from http://www.eccellere.com/)
18:17:26	3253/3253	---M--	200	added ('OK')	image/jpeg	etag:%227ec530edae2bc81:0%22	http://www.eccellere.com/images/bw%20portale.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/bw%20portale.jpg	(from http://www.eccellere.com/)
18:17:27	1626/1626	---M--	200	added ('OK')	image/gif	etag:%22aeed75f5ae2bc81:0%22	http://www.eccellere.com/images/marcusevans.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/marcusevans.gif	(from http://www.eccellere.com/)
18:17:27	4115/4115	---M--	200	added ('OK')	image/gif	etag:%22889ad5faae2bc81:0%22	http://www.eccellere.com/images/sibanner120x60.gif	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/sibanner120x60.gif	(from http://www.eccellere.com/)
18:17:27	1939/1939	---M--	200	added ('OK')	image/jpeg	etag:%22eaca11f5ae2bc81:0%22	http://www.eccellere.com/images/knowita120x60.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/knowita120x60.jpg	(from http://www.eccellere.com/)
18:17:27	2464/2464	---M--	200	added ('OK')	image/jpeg	etag:%22d62b33f5ae2bc81:0%22	http://www.eccellere.com/images/logocpl.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/logocpl.jpg	(from http://www.eccellere.com/)
18:17:28	3980/3980	---M--	200	added ('OK')	image/jpeg	etag:%22c9fd8cebb9adca1:0%22	http://www.eccellere.com/images/retidivalore2%20120x60.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/images/retidivalore2%20120x60.jpg	(from http://www.eccellere.com/)
18:17:28	49133/49133	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:26%20GMT	http://www.eccellere.com/public/rubriche/marketing/fiere-a-casa-330.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/marketing/fiere-a-casa-330.html	(from http://www.eccellere.com/)
18:17:28	9667/9667	---M--	200	added ('OK')	image/jpeg	etag:%227a103d978429d21:0%22	http://www.eccellere.com/public/files/images/fiere71.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/fiere71.jpg	(from http://www.eccellere.com/)
18:17:29	45792/45792	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:26%20GMT	http://www.eccellere.com/public/rubriche/marketing/ecommerce-canale-da-gestire-329.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/marketing/ecommerce-canale-da-gestire-329.html	(from http://www.eccellere.com/)
18:17:29	6399/6399	---M--	200	added ('OK')	image/jpeg	etag:%22e898715c4e1d21:0%22	http://www.eccellere.com/public/files/images/ecommerce71x100.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/ecommerce71x100.jpg	(from http://www.eccellere.com/)
18:17:29	43184/43184	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:26%20GMT	http://www.eccellere.com/public/rubriche/mercatiinternazionali/export-exit-328.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/mercatiinternazionali/export-exit-328.html	(from http://www.eccellere.com/)
18:17:29	5030/5030	---M--	200	added ('OK')	image/jpeg	etag:%22c8a8f3f452fd11:0%22	http://www.eccellere.com/public/files/images/rgocontainer-1-1189723-71.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/rgocontainer-1-1189723-71.jpg	(from http://www.eccellere.com/)
18:17:30	41738/41738	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:27%20GMT	http://www.eccellere.com/public/rubriche/recensioni/etica-morale-327.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/recensioni/etica-morale-327.html	(from http://www.eccellere.com/)
18:17:30	4233/4233	---M--	200	added ('OK')	image/jpeg	etag:%2232f3a9148724d11:0%22	http://www.eccellere.com/public/files/images/dialoghi_inattuali_sull_etica_sito71x100.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/dialoghi_inattuali_sull_etica_sito71x100.jpg	(from http://www.eccellere.com/)
18:17:30	45073/45073	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:27%20GMT	http://www.eccellere.com/public/rubriche/recensioni/braininitaly-326.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/recensioni/braininitaly-326.html	(from http://www.eccellere.com/)
18:17:30	6457/6457	---M--	200	added ('OK')	image/jpeg	etag:%22e143d10f1add01:0%22	http://www.eccellere.com/public/files/images/braininitaly.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/braininitaly.jpg	(from http://www.eccellere.com/)
18:17:31	49364/49364	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:29%20GMT	http://www.eccellere.com/public/rubriche/management/valore-etico-qualita-325.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/management/valore-etico-qualita-325.html	(from http://www.eccellere.com/)
18:17:31	6441/6441	---M--	200	added ('OK')	image/jpeg	etag:%22193e923c276bd01:0%22	http://www.eccellere.com/public/files/images/IMG_6834-(1)71.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/IMG_6834-(1)71.jpg	(from http://www.eccellere.com/)
18:17:31	42168/42168	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:29%20GMT	http://www.eccellere.com/public/rubriche/recensioni/impresa-folador-324.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/recensioni/impresa-folador-324.html	(from http://www.eccellere.com/)
18:17:31	5143/5143	---M--	200	added ('OK')	image/jpeg	etag:%22225a191e917d01:0%22	http://www.eccellere.com/public/files/images/Impresapossibile71x100.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/Impresapossibile71x100.jpg	(from http://www.eccellere.com/)
18:17:31	44448/44448	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:29%20GMT	http://www.eccellere.com/public/rubriche/marketing/winefathers-323.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/marketing/winefathers-323.html	(from http://www.eccellere.com/)
18:17:32	6174/6174	---M--	200	added ('OK')	image/jpeg	etag:%222438f3eee517d01:0%22	http://www.eccellere.com/public/files/images/TWF_team_1_71x100.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/TWF_team_1_71x100.jpg	(from http://www.eccellere.com/)
18:17:32	44788/44788	---M--	200	added ('OK')	text/html	date:Wed,%2029%20Jun%202022%2016:17:30%20GMT	http://www.eccellere.com/public/rubriche/impresedisuccesso/intervista-domenico-petrone-viasat-322.asp	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/rubriche/impresedisuccesso/intervista-domenico-petrone-viasat-322.html	(from http://www.eccellere.com/)
18:17:32	7502/7502	---M--	200	added ('OK')	image/jpeg	etag:%22e7cd1f9ad5cacf1:0%22	http://www.eccellere.com/public/files/images/petrone71x100.jpg	D:/Eccellere%20static%20download/Eccellere/www.eccellere.com/public/files/images/petrone71x100.jpg	(from http://www.eccellere.com/)
